id,title,type,directors,actors,release_year,duration,categories,plot
1,dick johnson is dead,movie,kirsten johnson,,2020,90 min,documentaries,as her father nears the end of his life filmmaker kirsten johnson stages his death in inventive and comical ways to help them both face the inevitable
2,blood  water,tv show,,"ama qamata,khosi ngema,gail mabalane,thabang molaba,dillon windvogel,natasha thahane,arno greeff,xolile tshabalala,getmore sithole,cindy mahlangu,ryle de morny,greteli fincham,sello maake kancube,odwa gwanya,mekaila mathys,sandi schultz,duane williams,shamilla miller,patrick mofokeng",2021,2 seasons,"international tv shows,tv dramas,tv mysteries",after crossing paths at a party a cape town teen sets out to prove whether a privateschool swimming star is her sister who was abducted at birth
3,ganglands,tv show,julien leclercq,"sami bouajila,tracy gotoas,samuel jouy,nabiha akkari,sofia lesaffre,salim kechiouche,noureddine farihi,geert van rampelberg,bakary diombera",2021,1 season,"crime tv shows,international tv shows,tv action  adventure",to protect his family from a powerful drug lord skilled thief mehdi and his expert team of robbers are pulled into a violent and deadly turf war
4,jailbirds new orleans,tv show,,,2021,1 season,"docuseries,reality tv",feuds flirtations and toilet talk go down among the incarcerated women at the orleans justice center in new orleans on this gritty reality series
5,kota factory,tv show,,"mayur more,jitendra kumar,ranjan raj,alam khan,ahsaas channa,revathi pillai,urvi singh,arun kumar",2021,2 seasons,"international tv shows,romantic tv shows,tv comedies",in a city of coaching centers known to train indias finest collegiate minds an earnest but unexceptional student and his friends navigate campus life
6,midnight mass,tv show,mike flanagan,"kate siegel,zach gilford,hamish linklater,henry thomas,kristin lehman,samantha sloyan,igby rigney,rahul kohli,annarah cymone,annabeth gish,alex essoe,rahul abburi,matt biedel,michael trucco,crystal balint,louis oliver",2021,1 season,"tv dramas,tv horror,tv mysteries",the arrival of a charismatic young priest brings glorious miracles ominous mysteries and renewed religious fervor to a dying town desperate to believe
7,my little pony a new generation,movie,"robert cullen,josé luis ucha","vanessa hudgens,kimiko glenn,james marsden,sofia carson,liza koshy,ken jeong,elizabeth perkins,jane krakowski,michael mckean,phil lamarr",2021,91 min,children  family movies,equestrias divided but a brighteyed hero believes earth ponies pegasi and unicorns should be pals  and hoof to heart she is determined to prove it
8,sankofa,movie,haile gerima,"kofi ghanaba,oyafunmike ogunlano,alexandra duah,nick medley,mutabaruka,afemo omilami,reggie carter,mzuri",1993,125 min,"dramas,independent movies,international movies",on a photo shoot in ghana an american model slips back in time becomes enslaved on a plantation and bears witness to the agony of her ancestral past
9,the great british baking show,tv show,andy devonshire,"mel giedroyc,sue perkins,mary berry,paul hollywood",2021,9 seasons,"british tv shows,reality tv",a talented batch of amateur bakers face off in a 10week competition whipping up their best dishes in the hopes of being named the youks best
10,the starling,movie,theodore melfi,"melissa mccarthy,chris odowd,kevin kline,timothy olyphant,daveed diggs,skyler gisondo,laura harrier,rosalind chao,kimberly quinn,loretta devine,ravi kapoor",2021,104 min,"comedies,dramas",a woman adjusting to life after a loss contends with a feisty bird that is taken over her garden  and a husband who is struggling to find a way forward
11,vendetta truth lies and the mafia,tv show,,,2021,1 season,"crime tv shows,docuseries,international tv shows",sicily boasts a bold antimafia coalition but what happens when those trying to bring down organized crime are accused of being criminals themselves
12,bangkok breaking,tv show,kongkiat komesiri,"sukollawat kanarot,sushar manaying,pavarit mongkolpisit,sahajak boonthanakit,suthipongse thatphithakkul,bhasaworn bawronkirati,daweerit chullasapya,waratthaya wongchayaporn,kittiphoom wongpentak,abhicha thanachanun,nophand boonyai,kittipong khamsat,arisara wongchalee,jaytiya naiwattanakul,pantipa arunwattanachai,panupan jantanawong,kungtap saelim,phumphat chartsuriyakiat,issara veranitinunt,keerati sivakuae,panjai sirisuwan,supranee charoenpol,suda chuenban,visaka banhansupavat,pitchatorn santinatornkul",2021,1 season,"crime tv shows,international tv shows,tv action  adventure",struggling to earn a living in bangkok a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy
13,je suis karl,movie,christian schwochow,"luna wedler,jannis niewöhner,milan peschel,edin hasanović,anna fialová,marlon boess,victor boccard,fleur geffrier,aziz dyab,mélanie fouché,elizaveta maximová",2021,127 min,"dramas,international movies",after most of her family is murdered in a terrorist bombing a young woman is unknowingly lured into joining the very group that killed them
14,confessions of an invisible girl,movie,bruno garotti,"klara castanho,lucca picon,júlia gomes,marcus bessa,kiria malheiros,fernanda concon,gabriel lima,caio cabral,leonardo cidade,jade cardozo",2021,91 min,"children  family movies,comedies",when the clever but sociallyawkward tetê joins a new school she will do anything to fit in but the queen bee among her classmates has other ideas
15,crime stories india detectives,tv show,,,2021,1 season,"british tv shows,crime tv shows,docuseries",cameras following bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations
16,dear white people,tv show,,"logan browning,brandon p bell,deron horton,antoinette robertson,john patrick amedori,ashley blaine featherson,marque richardson,giancarlo esposito",2021,4 seasons,"tv comedies,tv dramas",students of color navigate the daily slights and slippery politics of life at an ivy league college that is not nearly as postracial as it thinks
17,europes most dangerous man otto skorzeny in spain,movie,"pedro de echave garcía,pablo azorín williams",,2020,67 min,"documentaries,international movies",declassified documents reveal the postwwii life of otto skorzeny a close hitler ally who escaped to spain and became an adviser to world presidents
18,falsa identidad,tv show,,"luis ernesto franco,camila sodi,sergio goyri,samadhi zendejas,eduardo yáñez,sonya smith,alejandro camacho,azela robinson,uriel del toro,géraldine bazán,gabriela roel,marcus ornellas",2020,2 seasons,"crime tv shows,spanishlanguage tv shows,tv dramas",strangers diego and isabel flee their home in mexico and pretend to be a married couple to escape his drugdealing enemies and her abusive husband
